[SEVERE][SYNTAX]ERROR: IN LINE NUMBER:	2:	Expected One of these tokens:	class program
[WARNING][SYNTAX]SKIPPING TOKEN:	9	AT LINE NUMBER:	45
[WARNING][SYNTAX]SKIPPING TOKEN:	10	AT LINE NUMBER:	48
[WARNING][SYNTAX]SKIPPING TOKEN:	12	AT LINE NUMBER:	48
[WARNING][SYNTAX]SKIPPING TOKEN:	123	AT LINE NUMBER:	48
[WARNING][SYNTAX]SKIPPING TOKEN:	1234	AT LINE NUMBER:	48
[WARNING][SYNTAX]SKIPPING TOKEN:	12399	AT LINE NUMBER:	48
[WARNING][SYNTAX]SKIPPING TOKEN:	990099	AT LINE NUMBER:	48
[WARNING][SYNTAX]SKIPPING TOKEN:	1000000001	AT LINE NUMBER:	48
[WARNING][SYNTAX]SKIPPING TOKEN:	0.0	AT LINE NUMBER:	51
[WARNING][SYNTAX]SKIPPING TOKEN:	0.1	AT LINE NUMBER:	53
[WARNING][SYNTAX]SKIPPING TOKEN:	0.001	AT LINE NUMBER:	53
[WARNING][SYNTAX]SKIPPING TOKEN:	0.002	AT LINE NUMBER:	53
[WARNING][SYNTAX]SKIPPING TOKEN:	0.000101	AT LINE NUMBER:	53
[WARNING][SYNTAX]SKIPPING TOKEN:	9.001	AT LINE NUMBER:	55
[WARNING][SYNTAX]SKIPPING TOKEN:	11.01	AT LINE NUMBER:	55
[WARNING][SYNTAX]SKIPPING TOKEN:	1000.00001	AT LINE NUMBER:	55
[WARNING][SYNTAX]SKIPPING TOKEN:	999900.00000010001	AT LINE NUMBER:	57
[WARNING][SYNTAX]SKIPPING TOKEN:	10	AT LINE NUMBER:	59
[WARNING][SYNTAX]SKIPPING TOKEN:	,	AT LINE NUMBER:	59
[WARNING][SYNTAX]SKIPPING TOKEN:	20	AT LINE NUMBER:	59
[WARNING][SYNTAX]SKIPPING TOKEN:	,	AT LINE NUMBER:	59
[WARNING][SYNTAX]SKIPPING TOKEN:	30	AT LINE NUMBER:	59
[WARNING][SYNTAX]SKIPPING TOKEN:	,	AT LINE NUMBER:	59
[WARNING][SYNTAX]SKIPPING TOKEN:	40	AT LINE NUMBER:	59
[WARNING][SYNTAX]SKIPPING TOKEN:	,	AT LINE NUMBER:	59
[WARNING][SYNTAX]SKIPPING TOKEN:	0	AT LINE NUMBER:	59
[WARNING][SYNTAX]SKIPPING TOKEN:	,	AT LINE NUMBER:	59
[WARNING][SYNTAX]SKIPPING TOKEN:	1	AT LINE NUMBER:	59
[WARNING][SYNTAX]SKIPPING TOKEN:	,	AT LINE NUMBER:	59
[WARNING][SYNTAX]SKIPPING TOKEN:	0	AT LINE NUMBER:	59
[WARNING][SYNTAX]SKIPPING TOKEN:	,	AT LINE NUMBER:	59
[WARNING][SYNTAX]SKIPPING TOKEN:	200	AT LINE NUMBER:	59
[WARNING][SYNTAX]SKIPPING TOKEN:	,	AT LINE NUMBER:	59
[WARNING][SYNTAX]SKIPPING TOKEN:	2000	AT LINE NUMBER:	59
[WARNING][SYNTAX]SKIPPING TOKEN:	,	AT LINE NUMBER:	59
[WARNING][SYNTAX]SKIPPING TOKEN:	1230	AT LINE NUMBER:	59
[WARNING][SYNTAX]SKIPPING TOKEN:	,	AT LINE NUMBER:	59
[WARNING][SYNTAX]SKIPPING TOKEN:	100.0	AT LINE NUMBER:	59
[WARNING][SYNTAX]SKIPPING TOKEN:	0	AT LINE NUMBER:	59
[WARNING][SYNTAX]SKIPPING TOKEN:	,	AT LINE NUMBER:	59
[WARNING][SYNTAX]SKIPPING TOKEN:	0.001	AT LINE NUMBER:	59
[WARNING][SYNTAX]SKIPPING TOKEN:	,	AT LINE NUMBER:	59
[WARNING][SYNTAX]SKIPPING TOKEN:	0.12	AT LINE NUMBER:	59
[WARNING][SYNTAX]SKIPPING TOKEN:	,	AT LINE NUMBER:	59
[WARNING][SYNTAX]SKIPPING TOKEN:	0.0002	AT LINE NUMBER:	59
[WARNING][SYNTAX]SKIPPING TOKEN:	,	AT LINE NUMBER:	59
[WARNING][SYNTAX]SKIPPING TOKEN:	0.001	AT LINE NUMBER:	59
[WARNING][SYNTAX]SKIPPING TOKEN:	,	AT LINE NUMBER:	59
[WARNING][SYNTAX]SKIPPING TOKEN:	1.0	AT LINE NUMBER:	59
[WARNING][SYNTAX]SKIPPING TOKEN:	0.1	AT LINE NUMBER:	59
[WARNING][SYNTAX]SKIPPING TOKEN:	,	AT LINE NUMBER:	59
[WARNING][SYNTAX]SKIPPING TOKEN:	0.0	AT LINE NUMBER:	59
[WARNING][SYNTAX]SKIPPING TOKEN:	0.0	AT LINE NUMBER:	59
[WARNING][SYNTAX]SKIPPING TOKEN:	0.12	AT LINE NUMBER:	59
[WARNING][SYNTAX]SKIPPING TOKEN:	,	AT LINE NUMBER:	59
[WARNING][SYNTAX]SKIPPING TOKEN:	1.0	AT LINE NUMBER:	59
[WARNING][SYNTAX]SKIPPING TOKEN:	0	AT LINE NUMBER:	59
[WARNING][SYNTAX]SKIPPING TOKEN:	,	AT LINE NUMBER:	59
[WARNING][SYNTAX]SKIPPING TOKEN:	1.0	AT LINE NUMBER:	59
[WARNING][SYNTAX]SKIPPING TOKEN:	0	AT LINE NUMBER:	59
[WARNING][SYNTAX]SKIPPING TOKEN:	,	AT LINE NUMBER:	59
[WARNING][SYNTAX]SKIPPING TOKEN:	1.00123	AT LINE NUMBER:	59
[WARNING][SYNTAX]SKIPPING TOKEN:	1001.002	AT LINE NUMBER:	61
[WARNING][SYNTAX]SKIPPING TOKEN:	0.003	AT LINE NUMBER:	61
[WARNING][SYNTAX]SKIPPING TOKEN:	if	AT LINE NUMBER:	65
[WARNING][SYNTAX]SKIPPING TOKEN:	then	AT LINE NUMBER:	65
[WARNING][SYNTAX]SKIPPING TOKEN:	for	AT LINE NUMBER:	65
[WARNING][SYNTAX]SKIPPING TOKEN:	else	AT LINE NUMBER:	65
[WARNING][SYNTAX]SKIPPING TOKEN:	int	AT LINE NUMBER:	65
[WARNING][SYNTAX]SKIPPING TOKEN:	float	AT LINE NUMBER:	65
[WARNING][SYNTAX]SKIPPING TOKEN:	get	AT LINE NUMBER:	65
[WARNING][SYNTAX]SKIPPING TOKEN:	put	AT LINE NUMBER:	65
[WARNING][SYNTAX]SKIPPING TOKEN:	return	AT LINE NUMBER:	65
[WARNING][SYNTAX]SKIPPING TOKEN:	==	AT LINE NUMBER:	68
[WARNING][SYNTAX]SKIPPING TOKEN:	<>	AT LINE NUMBER:	68
[WARNING][SYNTAX]SKIPPING TOKEN:	<	AT LINE NUMBER:	68
[WARNING][SYNTAX]SKIPPING TOKEN:	>	AT LINE NUMBER:	68
[WARNING][SYNTAX]SKIPPING TOKEN:	<=	AT LINE NUMBER:	68
[WARNING][SYNTAX]SKIPPING TOKEN:	>=	AT LINE NUMBER:	68
[WARNING][SYNTAX]SKIPPING TOKEN:	=	AT LINE NUMBER:	71
[WARNING][SYNTAX]SKIPPING TOKEN:	and	AT LINE NUMBER:	74
[WARNING][SYNTAX]SKIPPING TOKEN:	or	AT LINE NUMBER:	74
[WARNING][SYNTAX]SKIPPING TOKEN:	not	AT LINE NUMBER:	74
[WARNING][SYNTAX]SKIPPING TOKEN:	+	AT LINE NUMBER:	77
[WARNING][SYNTAX]SKIPPING TOKEN:	-	AT LINE NUMBER:	77
[WARNING][SYNTAX]SKIPPING TOKEN:	*	AT LINE NUMBER:	77
[WARNING][SYNTAX]SKIPPING TOKEN:	/	AT LINE NUMBER:	77
[WARNING][SYNTAX]SKIPPING TOKEN:	(	AT LINE NUMBER:	80
[WARNING][SYNTAX]SKIPPING TOKEN:	)	AT LINE NUMBER:	80
[WARNING][SYNTAX]SKIPPING TOKEN:	{	AT LINE NUMBER:	80
[WARNING][SYNTAX]SKIPPING TOKEN:	}	AT LINE NUMBER:	80
[WARNING][SYNTAX]SKIPPING TOKEN:	[	AT LINE NUMBER:	80
[WARNING][SYNTAX]SKIPPING TOKEN:	]	AT LINE NUMBER:	80
[WARNING][SYNTAX]SKIPPING TOKEN:	;	AT LINE NUMBER:	80
[WARNING][SYNTAX]SKIPPING TOKEN:	,	AT LINE NUMBER:	80
[WARNING][SYNTAX]SKIPPING TOKEN:	.	AT LINE NUMBER:	80
[WARNING][SYNTAX]SKIPPING TOKEN:	0	AT LINE NUMBER:	83
[WARNING][SYNTAX]SKIPPING TOKEN:	1	AT LINE NUMBER:	83
[WARNING][SYNTAX]SKIPPING TOKEN:	2	AT LINE NUMBER:	83
[WARNING][SYNTAX]SKIPPING TOKEN:	3	AT LINE NUMBER:	83
[WARNING][SYNTAX]SKIPPING TOKEN:	4	AT LINE NUMBER:	83
[WARNING][SYNTAX]SKIPPING TOKEN:	5	AT LINE NUMBER:	83
[WARNING][SYNTAX]SKIPPING TOKEN:	6	AT LINE NUMBER:	83
[WARNING][SYNTAX]SKIPPING TOKEN:	7	AT LINE NUMBER:	83
[WARNING][SYNTAX]SKIPPING TOKEN:	8	AT LINE NUMBER:	83
[WARNING][SYNTAX]SKIPPING TOKEN:	9	AT LINE NUMBER:	83
[WARNING][SYNTAX]SKIPPING TOKEN:	10	AT LINE NUMBER:	86
[WARNING][SYNTAX]SKIPPING TOKEN:	12	AT LINE NUMBER:	86
[WARNING][SYNTAX]SKIPPING TOKEN:	123	AT LINE NUMBER:	86
[WARNING][SYNTAX]SKIPPING TOKEN:	1234	AT LINE NUMBER:	86
[WARNING][SYNTAX]SKIPPING TOKEN:	12399	AT LINE NUMBER:	86
[WARNING][SYNTAX]SKIPPING TOKEN:	990099	AT LINE NUMBER:	86
[WARNING][SYNTAX]SKIPPING TOKEN:	1000000001	AT LINE NUMBER:	86
[WARNING][SYNTAX]SKIPPING TOKEN:	0.0	AT LINE NUMBER:	89
[WARNING][SYNTAX]SKIPPING TOKEN:	0.1	AT LINE NUMBER:	91
[WARNING][SYNTAX]SKIPPING TOKEN:	0.001	AT LINE NUMBER:	91
[WARNING][SYNTAX]SKIPPING TOKEN:	0.002	AT LINE NUMBER:	91
[WARNING][SYNTAX]SKIPPING TOKEN:	0.000101	AT LINE NUMBER:	91
[WARNING][SYNTAX]SKIPPING TOKEN:	9.001	AT LINE NUMBER:	93
[WARNING][SYNTAX]SKIPPING TOKEN:	11.01	AT LINE NUMBER:	93
[WARNING][SYNTAX]SKIPPING TOKEN:	1000.00001	AT LINE NUMBER:	93
[WARNING][SYNTAX]SKIPPING TOKEN:	999900.00000010001	AT LINE NUMBER:	95
[WARNING][SYNTAX]REACHED END OF FILE
