Word,Count
\"\ARRAY\,1
short,1
\tokenMap.put("\COMMENTS"\,\,1
\System.out.println("\iString\t"\\,1
scanInputFile(),1
\copySymbol(compSymb,\,1
NAME,1
FormatLog());,1
LINE,1
into,1
\fParamsTail,\,1
(matchNum()),1
logging,1
st.nextToken();,1
\aParamsList,\,1
symbolsparsing,1
\varDecFunDef6,\,1
\"\LINE:\t"\\,1
(dotIdList(),1
\PrintUtil.error(parserLog,\,1
\tokenMap.put("\TOKENS"\,\,1
\(checkFollowSet("\termFactor"\))\,1
eof,1
\"\[COMPILER]"\\,1
\dotIdNest,\,1
\"\not\,1
token.getDesc(),1
associated,1
\idFactor2,\,1
\"\indiceOrParam"\))\,1
on,1
\indice,\,1
which,1
semantic,1
null;,1
\funcBody,\,1
HasMap,1
\"\\t"\\,1
\(checkFirstSet("\term"\))\,1
Vector>();,1
\RE--DEFINED"\);\,1
LHS,1
(indiceList()),1
then,1
\"\]"\\,1
\"\T_IDENTIFIER"\));\,1
\assignStat,\,1
(matchSign(),1
prog,1
\tokenMap.put("\ERRORS"\,\,1
indiceOrParam(),1
terminal,1
\ENCOUNTERED."\);\,1
.equals(symbol.getDataType().getValue()),1
MATCH:,1
\(checkFirstSet("\not"\))\,1
tokens);,1
logRecord.getLevel(),1
size,1
className.function(param,1
(startSymbol(),1
if(symbol.symbolType,1
\"\\tDW\t"\\,1
given,1
\varDec,\,1
implemented,1
SimpleFormatter,1
\(!skipErrors("\arithExpr"\,\,1
inputFile,1
eof);,1
\term,\,1
declared,1
Parent,1
fileHandler.setFormatter(new,1
length,1
symbol.setDataTypeDefined(false);,1
VARIABLE,1
semantics.isFunctionReDefined(symbol);,1
\prog,\,1
^,1
lol,1
\funcDefList,\,1
SYMBOL:,1
\copySymbol(arrayVar,\,1
Variable,1
local,1
\"\INVALID\,1
\st,\,1
(idFactor()),1
UNDECLARED,1
\"\\tDATA\,1
\(checkFirstSet("\."\))\,1
\"\\n"\;\,1
work,1
contains,1
\DIMENSIONS:\t"\\,1
\bodyCode2,\,1
\progBody,\,1
holds,1
\(matchTokenType("\T_IDENTIFIER"\,\,1
FUNCTION,1
vector,1
\"\arithExprRight"\))\,1
MISSING:,1
\Token(lineNum,\,1
msg;,1
\(matchTokenType("\T_DEL_DOT"\)\,1
tokenize,1
analysis,1
functions,1
null,1
\printGrammar("\term"\,\,1
\array,\,1
isArray,1
line,1
line(10),1
arrayVar.getToken().getValue(),1
logRecord.getMessage(),1
\(!skipErrors("\multOp"\,\,1
\"\FUNCTION\,1
\arraySizeList,\,1
\funcHead,\,1
moonData.add(symbol.getAddress(),1
Symbols,1
slides,1
(!eof);,1
global,1
SPACE,1
comments);,1
\sign,\,1
tale,1
\(matchTokenType("\T_LOGICAL_NOT"\)\,1
\System.out.println("\<<<----------\,1
Initialize,1
\.println("\IDENTIFIER\,1
Syntax,1
All,1
an,1
\Tokens,Errors\,1
\idOrIndice,\,1
(arithExpr(),1
\varDecFunDef3,\,1
FILE,1
calcArrayAddr,1
System.out.println(currTable.getAddrLink());,1
\aParamsTail,\,1
aParams(),1
generated,1
\Number:\t"\\,1
PARAMETERS,1
TOKEN,1
update,1
\PrintUtil.error(semanticLog,\,1
other,1
printCode();,1
arrayVar.isArray()),1
type:,1
CodeGenDriver,1
System.out.println(function.getToken().getValue(),1
\System.out.println("\NEW\,1
\printGrammar("\expr"\,\,1
\(checkFollowSet("\idFactor"\))\,1
logRecord.getMessage();,1
public,1
\copySymbol(result,\,1
\(checkFirstSet("\id"\))\,1
\PrintUtil.warning(errorLog,\,1
\aParamsTailList,\,1
\indiceNest,\,1
\varDecFunDef2,\,1
arrayVar.getArrLength(),1
\System.out.println("\---------->>>\,1
\position,\,1
int/float/id/value,1
\VARIABLE:\t"\\,1
idString2,1
flag,1
\multOp,\,1
\arithExpr,\,1
\indiceList,\,1
symbolList,1
\addOp,\,1
\(checkFollowSet("\indiceOrParam"\))\,1
expr(),1
\ctrlStat,\,1
made,1
\relOp,\,1
\"\i_ndiceList\,1
function.getToken().getPosition());,1
Input,1
\fParams,\,1
arithExprR);,1
arrSymb.setMemory(arrMemory);,1
\(matchTokenType("\addOp"\)\,1
children,1
\(!skipErrors("\indiceOrParam"\,\,1
(isFunctionReDefined(symbol)),1
System.out.println();,1
tokenMap,1
\printGrammar("\arithExpr"\,\,1
do,1
\"\idFactor"\))\,1
(factor(),1
\classDeclList,\,1
\idFactor"\);\,1
System.out.println(output);,1
\tokenize(token,\,1
\simple,\,1
parent,1
idFactor(),1
\"\addOp\,1
compDateTypeNum,1
\bodyCode,\,1
MISS,1
found,1
free,1
textFormatter,1
tokenList.add(new,1
\System.out.println("\END\,1
addition,1
its,1
true,1
FOR,1
RESERVE_WORD_MAP,1
symbol.getDataType().getValue());,1
arithExprRight(),1
memory,1
\(checkFirstSet("\multOp"\))\,1
Line,1
SYMBOLTYPE.ISCLASSORFUNC),1
parse(){,1
\(checkFirstSet("\addOp"\))\,1
arrayVar.getToken().getPosition();,1
\relExpr,\,1
throws,1
arrayVar.setToken(arrayToken);,1
\"\\tTOKEN:\tT_IDENTIFIER"\);\,1
\funcDef,\,1
\(checkFollowSet("\arithExprRight"\))\,1
\idString2,\,1
\variable,\,1
\(!skipErrors("\addOp"\,\,1
\classDecl,\,1
classSymb);,1
entry,1
lineNum,1
symbol.getToken().getPosition();,1
\arithExprRight,\,1
attribute,1
used,1
.equals(function.getDataType().getValue()),1
System.out.println(,1
HashMap,1
arithExprRight2);,1
\"\\tLEXEME:\t"\\,1
\statBlock,\,1
listed,1
\(!skipErrors("\."\,\,1
token),1
NO,1
\(checkFirstSet("\arithExpr"\))\,1
\System.out.println("\arrMemory:\,1
\"\sign\,1
\REDEFINED:\t"\\,1
Ordinary,1
follow,1
migration,1
errors);,1
\fParamsTailList,\,1
logger,1
\"\multOp\,1
\"\id\,1
Quit,1
\varDecFunDef1,\,1
SimpleFormatter();,1
\expr,\,1
symbol.getToken().getPosition());,1
space,1
\iSymbol,\,1
validate,1
\"\\tAT\,1
\idNest,\,1
this,1
arrMemory);,1
\arraySize,\,1
tokenType,1
\(!skipErrors("\term"\,\,1
\MATCH"\);\,1
\num,\,1
while,1
\num"\);\,1
9,1
arrayToken,1
\"\["\\,1
\ID\t"\\,1
ASSIGNMENT,1
(lookahead,1
\copySymbol(subSymb,\,1
issue,1
number,1
\"\0"\);\,1
tables,1
\bodyCode3,\,1
\PrintUtil.warning(commentLog,\,1
level,1
(!semantics.isDataTypeDefined(token)),1
MISSING,1
(symbol.isArray()),1
\subExpr,\,1
4:,1
\"\\t\,1
