[
LINE:	1	VALUE:	class		TOKEN:	T_RESERVE_WORD_CLASS, 
LINE:	19	VALUE:	[		TOKEN:	T_DEL_S_LPAREN, 
LINE:	19	VALUE:	100		TOKEN:	T_INTEGER, 
LINE:	19	VALUE:	]		TOKEN:	T_DEL_S_RPAREN, 
LINE:	19	VALUE:	)		TOKEN:	T_DEL_R_RPAREN, 
LINE:	20	VALUE:	{		TOKEN:	T_DEL_C_LPAREN, 
LINE:	21	VALUE:	int		TOKEN:	T_RESERVE_WORD_INT, 
LINE:	21	VALUE:	minValue		TOKEN:	T_IDENTIFIER, 
LINE:	21	VALUE:	;		TOKEN:	T_DEL_SEMICOLON, 
LINE:	22	VALUE:	int		TOKEN:	T_RESERVE_WORD_INT, 
LINE:	22	VALUE:	idx		TOKEN:	T_IDENTIFIER, 
LINE:	22	VALUE:	;		TOKEN:	T_DEL_SEMICOLON, 
LINE:	23	VALUE:	minValue		TOKEN:	T_IDENTIFIER, 
LINE:	23	VALUE:	=		TOKEN:	T_OP_ASSIGN_EQUAL, 
LINE:	23	VALUE:	array		TOKEN:	T_IDENTIFIER, 
LINE:	23	VALUE:	[		TOKEN:	T_DEL_S_LPAREN, 
LINE:	23	VALUE:	100		TOKEN:	T_INTEGER, 
LINE:	23	VALUE:	]		TOKEN:	T_DEL_S_RPAREN, 
LINE:	23	VALUE:	;		TOKEN:	T_DEL_SEMICOLON, 
LINE:	24	VALUE:	for		TOKEN:	T_RESERVE_WORD_FOR, 
LINE:	24	VALUE:	(		TOKEN:	T_DEL_R_LPAREN, 
LINE:	24	VALUE:	int		TOKEN:	T_RESERVE_WORD_INT, 
LINE:	24	VALUE:	idx		TOKEN:	T_IDENTIFIER, 
LINE:	24	VALUE:	=		TOKEN:	T_OP_ASSIGN_EQUAL, 
LINE:	24	VALUE:	1		TOKEN:	T_INTEGER, 
LINE:	24	VALUE:	;		TOKEN:	T_DEL_SEMICOLON, 
LINE:	24	VALUE:	idx		TOKEN:	T_IDENTIFIER, 
LINE:	24	VALUE:	<=		TOKEN:	T_OP_REL_LESSTHAN_EQUAL, 
LINE:	24	VALUE:	99		TOKEN:	T_INTEGER, 
LINE:	24	VALUE:	;		TOKEN:	T_DEL_SEMICOLON, 
LINE:	24	VALUE:	idx		TOKEN:	T_IDENTIFIER, 
LINE:	24	VALUE:	=		TOKEN:	T_OP_ASSIGN_EQUAL, 
LINE:	24	VALUE:	(		TOKEN:	T_DEL_R_LPAREN, 
LINE:	24	VALUE:	idx		TOKEN:	T_IDENTIFIER, 
LINE:	24	VALUE:	)		TOKEN:	T_DEL_R_RPAREN, 
LINE:	24	VALUE:	+		TOKEN:	T_OP_ADD, 
LINE:	24	VALUE:	1		TOKEN:	T_INTEGER, 
LINE:	24	VALUE:	)		TOKEN:	T_DEL_R_RPAREN, 
LINE:	25	VALUE:	{		TOKEN:	T_DEL_C_LPAREN, 
LINE:	26	VALUE:	if		TOKEN:	T_RESERVE_WORD_IF, 
LINE:	26	VALUE:	(		TOKEN:	T_DEL_R_LPAREN, 
LINE:	26	VALUE:	array		TOKEN:	T_IDENTIFIER, 
LINE:	26	VALUE:	[		TOKEN:	T_DEL_S_LPAREN, 
LINE:	26	VALUE:	idx		TOKEN:	T_IDENTIFIER, 
LINE:	26	VALUE:	]		TOKEN:	T_DEL_S_RPAREN, 
LINE:	26	VALUE:	<		TOKEN:	T_OP_REL_LESSTHAN, 
LINE:	26	VALUE:	maxValue		TOKEN:	T_IDENTIFIER, 
LINE:	26	VALUE:	)		TOKEN:	T_DEL_R_RPAREN, 
LINE:	26	VALUE:	then		TOKEN:	T_RESERVE_WORD_THEN, 
LINE:	26	VALUE:	{		TOKEN:	T_DEL_C_LPAREN, 
LINE:	27	VALUE:	maxValue		TOKEN:	T_IDENTIFIER, 
LINE:	27	VALUE:	=		TOKEN:	T_OP_ASSIGN_EQUAL, 
LINE:	27	VALUE:	array		TOKEN:	T_IDENTIFIER, 
LINE:	27	VALUE:	[		TOKEN:	T_DEL_S_LPAREN, 
LINE:	27	VALUE:	idx		TOKEN:	T_IDENTIFIER, 
LINE:	27	VALUE:	]		TOKEN:	T_DEL_S_RPAREN, 
LINE:	27	VALUE:	;		TOKEN:	T_DEL_SEMICOLON, 
LINE:	28	VALUE:	}		TOKEN:	T_DEL_C_RPAREN, 
LINE:	28	VALUE:	else		TOKEN:	T_RESERVE_WORD_ELSE, 
LINE:	28	VALUE:	{		TOKEN:	T_DEL_C_LPAREN, 
LINE:	29	VALUE:	}		TOKEN:	T_DEL_C_RPAREN, 
LINE:	29	VALUE:	;		TOKEN:	T_DEL_SEMICOLON, 
LINE:	30	VALUE:	}		TOKEN:	T_DEL_C_RPAREN, 
LINE:	30	VALUE:	;		TOKEN:	T_DEL_SEMICOLON, 
LINE:	31	VALUE:	return		TOKEN:	T_RESERVE_WORD_RETURN, 
LINE:	31	VALUE:	(		TOKEN:	T_DEL_R_LPAREN, 
LINE:	31	VALUE:	minValue		TOKEN:	T_IDENTIFIER, 
LINE:	31	VALUE:	)		TOKEN:	T_DEL_R_RPAREN, 
LINE:	31	VALUE:	;		TOKEN:	T_DEL_SEMICOLON, 
LINE:	32	VALUE:	}		TOKEN:	T_DEL_C_RPAREN, 
LINE:	32	VALUE:	;		TOKEN:	T_DEL_SEMICOLON, 
LINE:	33	VALUE:	}		TOKEN:	T_DEL_C_RPAREN, 
LINE:	33	VALUE:	;		TOKEN:	T_DEL_SEMICOLON, 
LINE:	34	VALUE:	program		TOKEN:	T_IDENTIFIER, 
LINE:	34	VALUE:	{		TOKEN:	T_DEL_C_LPAREN, 
LINE:	35	VALUE:	int		TOKEN:	T_RESERVE_WORD_INT, 
LINE:	35	VALUE:	sample		TOKEN:	T_IDENTIFIER, 
LINE:	35	VALUE:	[		TOKEN:	T_DEL_S_LPAREN, 
LINE:	35	VALUE:	100		TOKEN:	T_INTEGER, 
LINE:	35	VALUE:	]		TOKEN:	T_DEL_S_RPAREN, 
LINE:	35	VALUE:	;		TOKEN:	T_DEL_SEMICOLON, 
LINE:	36	VALUE:	int		TOKEN:	T_RESERVE_WORD_INT, 
LINE:	36	VALUE:	idx		TOKEN:	T_IDENTIFIER, 
LINE:	36	VALUE:	;		TOKEN:	T_DEL_SEMICOLON, 
LINE:	37	VALUE:	int		TOKEN:	T_RESERVE_WORD_INT, 
LINE:	37	VALUE:	maxValue		TOKEN:	T_IDENTIFIER, 
LINE:	37	VALUE:	;		TOKEN:	T_DEL_SEMICOLON, 
LINE:	38	VALUE:	int		TOKEN:	T_RESERVE_WORD_INT, 
LINE:	38	VALUE:	minValue		TOKEN:	T_IDENTIFIER, 
LINE:	38	VALUE:	;		TOKEN:	T_DEL_SEMICOLON, 
LINE:	39	VALUE:	Utility		TOKEN:	T_IDENTIFIER, 
LINE:	39	VALUE:	utility		TOKEN:	T_IDENTIFIER, 
LINE:	39	VALUE:	;		TOKEN:	T_DEL_SEMICOLON, 
LINE:	40	VALUE:	Utility		TOKEN:	T_IDENTIFIER, 
LINE:	40	VALUE:	arrayUtility		TOKEN:	T_IDENTIFIER, 
LINE:	40	VALUE:	[		TOKEN:	T_DEL_S_LPAREN, 
LINE:	40	VALUE:	2		TOKEN:	T_INTEGER, 
LINE:	40	VALUE:	]		TOKEN:	T_DEL_S_RPAREN, 
LINE:	40	VALUE:	[		TOKEN:	T_DEL_S_LPAREN, 
LINE:	40	VALUE:	3		TOKEN:	T_INTEGER, 
LINE:	40	VALUE:	]		TOKEN:	T_DEL_S_RPAREN, 
LINE:	40	VALUE:	[		TOKEN:	T_DEL_S_LPAREN, 
LINE:	40	VALUE:	6		TOKEN:	T_INTEGER, 
LINE:	40	VALUE:	]		TOKEN:	T_DEL_S_RPAREN, 
LINE:	40	VALUE:	[		TOKEN:	T_DEL_S_LPAREN, 
LINE:	40	VALUE:	7		TOKEN:	T_INTEGER, 
LINE:	40	VALUE:	]		TOKEN:	T_DEL_S_RPAREN, 
LINE:	40	VALUE:	;		TOKEN:	T_DEL_SEMICOLON, 
LINE:	41	VALUE:	for		TOKEN:	T_RESERVE_WORD_FOR, 
LINE:	41	VALUE:	(		TOKEN:	T_DEL_R_LPAREN, 
LINE:	41	VALUE:	int		TOKEN:	T_RESERVE_WORD_INT, 
LINE:	41	VALUE:	t		TOKEN:	T_IDENTIFIER, 
LINE:	41	VALUE:	=		TOKEN:	T_OP_ASSIGN_EQUAL, 
LINE:	41	VALUE:	0		TOKEN:	T_INTEGER, 
LINE:	41	VALUE:	;		TOKEN:	T_DEL_SEMICOLON, 
LINE:	41	VALUE:	t		TOKEN:	T_IDENTIFIER, 
LINE:	41	VALUE:	<=		TOKEN:	T_OP_REL_LESSTHAN_EQUAL, 
LINE:	41	VALUE:	100		TOKEN:	T_INTEGER, 
LINE:	41	VALUE:	;		TOKEN:	T_DEL_SEMICOLON, 
LINE:	41	VALUE:	t		TOKEN:	T_IDENTIFIER, 
LINE:	41	VALUE:	=		TOKEN:	T_OP_ASSIGN_EQUAL, 
LINE:	41	VALUE:	t		TOKEN:	T_IDENTIFIER, 
LINE:	41	VALUE:	+		TOKEN:	T_OP_ADD, 
LINE:	41	VALUE:	1		TOKEN:	T_INTEGER, 
LINE:	41	VALUE:	)		TOKEN:	T_DEL_R_RPAREN, 
LINE:	42	VALUE:	{		TOKEN:	T_DEL_C_LPAREN, 
LINE:	43	VALUE:	get		TOKEN:	T_RESERVE_WORD_GET, 
LINE:	43	VALUE:	(		TOKEN:	T_DEL_R_LPAREN, 
LINE:	43	VALUE:	sample		TOKEN:	T_IDENTIFIER, 
LINE:	43	VALUE:	[		TOKEN:	T_DEL_S_LPAREN, 
LINE:	43	VALUE:	t		TOKEN:	T_IDENTIFIER, 
LINE:	43	VALUE:	]		TOKEN:	T_DEL_S_RPAREN, 
LINE:	43	VALUE:	)		TOKEN:	T_DEL_R_RPAREN, 
LINE:	43	VALUE:	;		TOKEN:	T_DEL_SEMICOLON, 
LINE:	44	VALUE:	sample		TOKEN:	T_IDENTIFIER, 
LINE:	44	VALUE:	[		TOKEN:	T_DEL_S_LPAREN, 
LINE:	44	VALUE:	t		TOKEN:	T_IDENTIFIER, 
LINE:	44	VALUE:	]		TOKEN:	T_DEL_S_RPAREN, 
LINE:	44	VALUE:	=		TOKEN:	T_OP_ASSIGN_EQUAL, 
LINE:	44	VALUE:	(		TOKEN:	T_DEL_R_LPAREN, 
LINE:	44	VALUE:	sample		TOKEN:	T_IDENTIFIER, 
LINE:	44	VALUE:	[		TOKEN:	T_DEL_S_LPAREN, 
LINE:	44	VALUE:	t		TOKEN:	T_IDENTIFIER, 
LINE:	44	VALUE:	]		TOKEN:	T_DEL_S_RPAREN, 
LINE:	44	VALUE:	*		TOKEN:	T_OP_MUL, 
LINE:	44	VALUE:	randomize		TOKEN:	T_IDENTIFIER, 
LINE:	44	VALUE:	(		TOKEN:	T_DEL_R_LPAREN, 
LINE:	44	VALUE:	)		TOKEN:	T_DEL_R_RPAREN, 
LINE:	44	VALUE:	)		TOKEN:	T_DEL_R_RPAREN, 
LINE:	44	VALUE:	;		TOKEN:	T_DEL_SEMICOLON, 
LINE:	45	VALUE:	}		TOKEN:	T_DEL_C_RPAREN, 
LINE:	45	VALUE:	;		TOKEN:	T_DEL_SEMICOLON, 
LINE:	46	VALUE:	maxValue		TOKEN:	T_IDENTIFIER, 
LINE:	46	VALUE:	=		TOKEN:	T_OP_ASSIGN_EQUAL, 
LINE:	46	VALUE:	utility		TOKEN:	T_IDENTIFIER, 
LINE:	46	VALUE:	.		TOKEN:	T_DEL_DOT, 
LINE:	46	VALUE:	findMax		TOKEN:	T_IDENTIFIER, 
LINE:	46	VALUE:	(		TOKEN:	T_DEL_R_LPAREN, 
LINE:	46	VALUE:	sample		TOKEN:	T_IDENTIFIER, 
LINE:	46	VALUE:	)		TOKEN:	T_DEL_R_RPAREN, 
LINE:	46	VALUE:	;		TOKEN:	T_DEL_SEMICOLON, 
LINE:	47	VALUE:	minValue		TOKEN:	T_IDENTIFIER, 
LINE:	47	VALUE:	=		TOKEN:	T_OP_ASSIGN_EQUAL, 
LINE:	47	VALUE:	utility		TOKEN:	T_IDENTIFIER, 
LINE:	47	VALUE:	.		TOKEN:	T_DEL_DOT, 
LINE:	47	VALUE:	findMin		TOKEN:	T_IDENTIFIER, 
LINE:	47	VALUE:	(		TOKEN:	T_DEL_R_LPAREN, 
LINE:	47	VALUE:	sample		TOKEN:	T_IDENTIFIER, 
LINE:	47	VALUE:	)		TOKEN:	T_DEL_R_RPAREN, 
LINE:	47	VALUE:	;		TOKEN:	T_DEL_SEMICOLON, 
LINE:	48	VALUE:	utility		TOKEN:	T_IDENTIFIER, 
LINE:	48	VALUE:	.		TOKEN:	T_DEL_DOT, 
LINE:	48	VALUE:	var1		TOKEN:	T_IDENTIFIER, 
LINE:	48	VALUE:	[		TOKEN:	T_DEL_S_LPAREN, 
LINE:	48	VALUE:	4		TOKEN:	T_INTEGER, 
LINE:	48	VALUE:	]		TOKEN:	T_DEL_S_RPAREN, 
LINE:	48	VALUE:	[		TOKEN:	T_DEL_S_LPAREN, 
LINE:	48	VALUE:	1		TOKEN:	T_INTEGER, 
LINE:	48	VALUE:	]		TOKEN:	T_DEL_S_RPAREN, 
LINE:	48	VALUE:	[		TOKEN:	T_DEL_S_LPAREN, 
LINE:	48	VALUE:	0		TOKEN:	T_INTEGER, 
LINE:	48	VALUE:	]		TOKEN:	T_DEL_S_RPAREN, 
LINE:	48	VALUE:	[		TOKEN:	T_DEL_S_LPAREN, 
LINE:	48	VALUE:	0		TOKEN:	T_INTEGER, 
LINE:	48	VALUE:	]		TOKEN:	T_DEL_S_RPAREN, 
LINE:	48	VALUE:	[		TOKEN:	T_DEL_S_LPAREN, 
LINE:	48	VALUE:	0		TOKEN:	T_INTEGER, 
LINE:	48	VALUE:	]		TOKEN:	T_DEL_S_RPAREN, 
LINE:	48	VALUE:	[		TOKEN:	T_DEL_S_LPAREN, 
LINE:	48	VALUE:	0		TOKEN:	T_INTEGER, 
LINE:	48	VALUE:	]		TOKEN:	T_DEL_S_RPAREN, 
LINE:	48	VALUE:	[		TOKEN:	T_DEL_S_LPAREN, 
LINE:	48	VALUE:	0		TOKEN:	T_INTEGER, 
LINE:	48	VALUE:	]		TOKEN:	T_DEL_S_RPAREN, 
LINE:	48	VALUE:	=		TOKEN:	T_OP_ASSIGN_EQUAL, 
LINE:	48	VALUE:	10		TOKEN:	T_INTEGER, 
LINE:	48	VALUE:	;		TOKEN:	T_DEL_SEMICOLON, 
LINE:	49	VALUE:	arrayUtility		TOKEN:	T_IDENTIFIER, 
LINE:	49	VALUE:	[		TOKEN:	T_DEL_S_LPAREN, 
LINE:	49	VALUE:	1		TOKEN:	T_INTEGER, 
LINE:	49	VALUE:	]		TOKEN:	T_DEL_S_RPAREN, 
LINE:	49	VALUE:	[		TOKEN:	T_DEL_S_LPAREN, 
LINE:	49	VALUE:	1		TOKEN:	T_INTEGER, 
LINE:	49	VALUE:	]		TOKEN:	T_DEL_S_RPAREN, 
LINE:	49	VALUE:	[		TOKEN:	T_DEL_S_LPAREN, 
LINE:	49	VALUE:	1		TOKEN:	T_INTEGER, 
LINE:	49	VALUE:	]		TOKEN:	T_DEL_S_RPAREN, 
LINE:	49	VALUE:	[		TOKEN:	T_DEL_S_LPAREN, 
LINE:	49	VALUE:	1		TOKEN:	T_INTEGER, 
LINE:	49	VALUE:	]		TOKEN:	T_DEL_S_RPAREN, 
LINE:	49	VALUE:	.		TOKEN:	T_DEL_DOT, 
LINE:	49	VALUE:	var1		TOKEN:	T_IDENTIFIER, 
LINE:	49	VALUE:	[		TOKEN:	T_DEL_S_LPAREN, 
LINE:	49	VALUE:	4		TOKEN:	T_INTEGER, 
LINE:	49	VALUE:	]		TOKEN:	T_DEL_S_RPAREN, 
LINE:	49	VALUE:	[		TOKEN:	T_DEL_S_LPAREN, 
LINE:	49	VALUE:	1		TOKEN:	T_INTEGER, 
LINE:	49	VALUE:	]		TOKEN:	T_DEL_S_RPAREN, 
LINE:	49	VALUE:	[		TOKEN:	T_DEL_S_LPAREN, 
LINE:	49	VALUE:	0		TOKEN:	T_INTEGER, 
LINE:	49	VALUE:	]		TOKEN:	T_DEL_S_RPAREN, 
LINE:	49	VALUE:	[		TOKEN:	T_DEL_S_LPAREN, 
LINE:	49	VALUE:	0		TOKEN:	T_INTEGER, 
LINE:	49	VALUE:	]		TOKEN:	T_DEL_S_RPAREN, 
LINE:	49	VALUE:	[		TOKEN:	T_DEL_S_LPAREN, 
LINE:	49	VALUE:	0		TOKEN:	T_INTEGER, 
LINE:	49	VALUE:	]		TOKEN:	T_DEL_S_RPAREN, 
LINE:	49	VALUE:	[		TOKEN:	T_DEL_S_LPAREN, 
LINE:	49	VALUE:	0		TOKEN:	T_INTEGER, 
LINE:	49	VALUE:	]		TOKEN:	T_DEL_S_RPAREN, 
LINE:	49	VALUE:	[		TOKEN:	T_DEL_S_LPAREN, 
LINE:	49	VALUE:	0		TOKEN:	T_INTEGER, 
LINE:	49	VALUE:	]		TOKEN:	T_DEL_S_RPAREN, 
LINE:	49	VALUE:	=		TOKEN:	T_OP_ASSIGN_EQUAL, 
LINE:	49	VALUE:	2		TOKEN:	T_INTEGER, 
LINE:	49	VALUE:	;		TOKEN:	T_DEL_SEMICOLON, 
LINE:	50	VALUE:	put		TOKEN:	T_RESERVE_WORD_PUT, 
LINE:	50	VALUE:	(		TOKEN:	T_DEL_R_LPAREN, 
LINE:	50	VALUE:	maxValue		TOKEN:	T_IDENTIFIER, 
LINE:	50	VALUE:	)		TOKEN:	T_DEL_R_RPAREN, 
LINE:	50	VALUE:	;		TOKEN:	T_DEL_SEMICOLON, 
LINE:	51	VALUE:	put		TOKEN:	T_RESERVE_WORD_PUT, 
LINE:	51	VALUE:	(		TOKEN:	T_DEL_R_LPAREN, 
LINE:	51	VALUE:	minValue		TOKEN:	T_IDENTIFIER, 
LINE:	51	VALUE:	)		TOKEN:	T_DEL_R_RPAREN, 
LINE:	51	VALUE:	;		TOKEN:	T_DEL_SEMICOLON, 
LINE:	52	VALUE:	}		TOKEN:	T_DEL_C_RPAREN, 
LINE:	52	VALUE:	;		TOKEN:	T_DEL_SEMICOLON, 
LINE:	53	VALUE:	float		TOKEN:	T_RESERVE_WORD_FLOAT, 
LINE:	53	VALUE:	randomize		TOKEN:	T_IDENTIFIER, 
LINE:	53	VALUE:	(		TOKEN:	T_DEL_R_LPAREN, 
LINE:	53	VALUE:	)		TOKEN:	T_DEL_R_RPAREN, 
LINE:	54	VALUE:	{		TOKEN:	T_DEL_C_LPAREN, 
LINE:	55	VALUE:	float		TOKEN:	T_RESERVE_WORD_FLOAT, 
LINE:	55	VALUE:	value		TOKEN:	T_IDENTIFIER, 
LINE:	55	VALUE:	;		TOKEN:	T_DEL_SEMICOLON, 
LINE:	56	VALUE:	value		TOKEN:	T_IDENTIFIER, 
LINE:	56	VALUE:	=		TOKEN:	T_OP_ASSIGN_EQUAL, 
LINE:	56	VALUE:	100		TOKEN:	T_INTEGER, 
LINE:	56	VALUE:	*		TOKEN:	T_OP_MUL, 
LINE:	56	VALUE:	(		TOKEN:	T_DEL_R_LPAREN, 
LINE:	56	VALUE:	2		TOKEN:	T_INTEGER, 
LINE:	56	VALUE:	+		TOKEN:	T_OP_ADD, 
LINE:	56	VALUE:	3.0		TOKEN:	T_FLOAT, 
LINE:	56	VALUE:	/		TOKEN:	T_OP_DIV, 
LINE:	56	VALUE:	7.0006		TOKEN:	T_FLOAT, 
LINE:	56	VALUE:	)		TOKEN:	T_DEL_R_RPAREN, 
LINE:	56	VALUE:	;		TOKEN:	T_DEL_SEMICOLON, 
